data,value
21,130.3
21,130.3
21,130.3
21,130.3
21,130.3
21,130.3
21,129.7
21,129.7
21,129.7
21,129.1
21,129.1
21,129.1
21,128.3
21,128.3
21,128.3
21,127.8
21,127.8
21,127.3
21,127.3
21,127.3
21,127.3
21,127.3
21,127.3
21,126.9
21,126.9
21,126.9
21,126.9
21,126.4
21,126.4
21,126.4
21,126.4
21,126.4
21,126.4
21,126.4
21,126.4
21,126.4
21,126.2
21,126.2
21,126.2
21,126.2
21,126.2
21,126.2
21,126.2
21,126.2
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,126.9
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.0
21,127.5
21,127.5
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.4
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,128.6
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,129.3
24,130.0
24,130.0
24,130.0
24,130.0
24,130.0
24,130.0
24,130.0
24,130.0
24,130.0
24,130.0
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,130.6
24,131.1
24,131.1
24,131.1
24,131.1
24,131.1
